protein,go_term
P01137,GO:0043123
P01137,GO:0043410
P01137,GO:0043536
P01137,GO:0043537
P01137,GO:0043539
P01137,GO:0044877
P01137,GO:0045066
P01137,GO:0045216
P01137,GO:0045471
P01137,GO:0045591
P01137,GO:0045596
P01137,GO:0045599
P01137,GO:0045662
P01137,GO:0045742
P01137,GO:0045786
P01137,GO:0045892
P01137,GO:0045893
P01137,GO:0045944
P01137,GO:0048298
P01137,GO:0048535
P01137,GO:0048565
P01137,GO:0048642
P01137,GO:0048661
P01137,GO:0048839
P01137,GO:0050679
P01137,GO:0050680
P01137,GO:0050714
P01137,GO:0050729
P01137,GO:0050765
P01137,GO:0050832
P01137,GO:0050921
P01137,GO:0051247
P01137,GO:0051280
P01137,GO:0051781
P01137,GO:0051897
P01137,GO:0055010
P01137,GO:0060312
P01137,GO:0060325
P01137,GO:0060364
P01137,GO:0060391
P01137,GO:0070168
P01137,GO:0070374
P01137,GO:0070723
P01137,GO:0071260
P01137,GO:0071333
P01137,GO:0071404
P01137,GO:0071456
P01137,GO:0071479
P01137,GO:0071549
P01137,GO:0071560
P01137,GO:0071677
P01137,GO:0071895
P01137,GO:0072562
P01137,GO:0085029
P01137,GO:0090190
P01137,GO:0090263
P01137,GO:0097191
P01137,GO:0097421
P01137,GO:0098586
P01137,GO:0099126
P01137,GO:1900126
P01137,GO:1900182
P01137,GO:1901203
P01137,GO:1902074
P01137,GO:1902462
P01137,GO:1902894
P01137,GO:1902895
P01137,GO:1903077
P01137,GO:1904018
P01137,GO:1904894
P01137,GO:1905641
P01137,GO:1990314
P01137,GO:1990402
P01137,GO:2000048
P01137,GO:2000343
P01137,GO:2000353
P01137,GO:2000636
P01137,GO:2000727
P05091,GO:0004029
P05091,GO:0004030
P05091,GO:0005739
P05091,GO:0005759
P05091,GO:0005975
P05091,GO:0006066
P05091,GO:0006067
P05091,GO:0006068
P05091,GO:0008957
P05091,GO:0009055
P05091,GO:0018937
P05091,GO:0046185
P05091,GO:0051287
P05091,GO:0070062
P05091,GO:0106435
P05091,GO:0110095
P05091,GO:1903179
P05091,GO:1905627
P05181,GO:0001676
P05181,GO:0002933
P05181,GO:0004497
P05181,GO:0005506
P05181,GO:0005737
P05181,GO:0005743
P05181,GO:0005789
P05181,GO:0006805
P05181,GO:0008202
P05181,GO:0008392
P05181,GO:0016098
P05181,GO:0016491
P05181,GO:0016709
P05181,GO:0016712
P05181,GO:0018601
P05181,GO:0018885
P05181,GO:0018910
P05181,GO:0018960
P05181,GO:0019373
P05181,GO:0019825
P05181,GO:0019899
P05181,GO:0020037
P05181,GO:0030544
P05181,GO:0042197
P05181,GO:0042759
P05181,GO:0051879
P05181,GO:0120319
P05106,GO:0001618
P05106,GO:0001938
P05106,GO:0001968
P05106,GO:0002020
P05106,GO:0003756
P05106,GO:0005080
P05106,GO:0005161
P05106,GO:0005178
